country,GDPpercapita
Africa Eastern and Southern,1500.22927438203
Africa Western and Central,1749.30331701118
Arab World,6384.39049221952
Caribbean small states,10429.3320396051
Central Europe and the Baltics,16358.4741498916
Early-demographic dividend,3489.13106081302
East Asia & Pacific,11482.5316836638
East Asia & Pacific (excluding high income),8169.16783730136
East Asia & Pacific (IDA & IBRD countries),8259.79560508293
Euro area,39182.5483400922
Europe & Central Asia,24870.2619868165
Europe & Central Asia (excluding high income),8129.88601672878
Europe & Central Asia (IDA & IBRD countries),9019.71737353636
European Union,35079.4691496775
Fragile and conflict affected situations,1874.0720163942
Heavily indebted poor countries (HIPC),978.793970236792
High income,44723.9289448888
IBRD only,6435.95331924092
IDA & IBRD total,5124.48713009159
IDA blend,1827.16847357077
IDA only,1149.25488998603
IDA total,1376.90879837575
Late-demographic dividend,9979.25411184343
Latin America & Caribbean,8707.18736820255
Latin America & Caribbean (excluding high income),8181.62274744186
Latin America & the Caribbean (IDA & IBRD countries),8526.26578328322
Least developed countries: UN classification,1090.00328554806
Low & middle income,4950.73417860259
Low income,704.491273951095
Lower middle income,2386.48858914775
Middle East & North Africa,7338.01401576618
Middle East & North Africa (excluding high income),3439.30433515147
Middle East & North Africa (IDA & IBRD countries),3436.759720384
Middle income,5448.65078025163
North America,63198.7013177896
OECD members,39531.6603463651
Other small states,13540.4002873269
Pacific island small states,4233.4136752437
Post-demographic dividend,45700.938132739
Pre-demographic dividend,1455.60148016876
Small states,12427.5767384523
South Asia,1962.80287524759
South Asia (IDA & IBRD),1962.80287524759
Sub-Saharan Africa,1601.1217636118
Sub-Saharan Africa (excluding high income),1599.75918622443
Sub-Saharan Africa (IDA & IBRD countries),1601.1217636118
Upper middle income,9534.00511269487
World,11319.7541087933
Afghanistan,500.522664145294
Albania,5396.21586434732
Algeria,4022.15018374716
American Samoa,13672.576657298
Andorra,41327.5020305489
Angola,2142.23875712854
Antigua and Barbuda,18319.4560540762
Argentina,9963.6725062053
Armenia,4828.50517771789
Aruba,31650.7605367511
Australia,54941.4341793948
Austria,50070.4033482901
Azerbaijan,4805.75371765917
"Bahamas, The",32610.4850490784
Bahrain,25869.1129129041
Bangladesh,2122.07885124799
Barbados,19002.9623813263
Belarus,6837.71782606351
Belgium,46638.6813054855
Belize,6210.56554311929
Benin,1170.96553298099
Bermuda,116153.166121638
Bhutan,3303.96421053812
Bolivia,3472.38083075685
Bosnia and Herzegovina,6011.37067052755
Botswana,6679.16767381458
Brazil,8845.25911841876
Brunei Darussalam,30748.7374865551
Bulgaria,9879.33434282707
Burkina Faso,772.166894917835
Burundi,216.972968085123
Cabo Verde,3434.56274492859
Cambodia,1671.38538492515
Cameroon,1538.68794663506
Canada,46328.6718408497
Cayman Islands,89871.9131394463
Central African Republic,426.408762581226
Chad,701.621216594764
Chile,14631.9468779229
China,10143.8381955585
Colombia,6438.06018290435
Comoros,1510.79735809965
"Congo, Dem. Rep.",575.882790805511
"Congo, Rep.",2288.80813763495
Costa Rica,12669.341068679
Cote d'Ivoire,2238.81100489009
Croatia,15331.8830536722
Cuba,9139.41585605765
Curacao,19024.1771511889
Cyprus,29417.138671875
Czechia,23664.8478631108
Denmark,59592.9806886454
Djibouti,2876.04366371536
Dominica,8561.58701121461
Dominican Republic,8173.33800656006
Ecuador,6233.25816692363
"Egypt, Arab Rep.",2869.57658843903
El Salvador,4280.28840404719
Equatorial Guinea,7317.39018853546
Estonia,23424.4847073518
Eswatini,3843.3773913814
Ethiopia,840.449451464836
Faroe Islands,63383.196148417
Fiji,5968.30055949885
Finland,48629.8582283032
France,40494.8982936276
French Polynesia,20023.5047046924
Gabon,7523.8622784598
"Gambia, The",722.874793145171
Georgia,4696.15058555612
Germany,46793.6867616004
Ghana,2167.91158941087
Greece,19144.284387556
Greenland,53256.2440862119
Grenada,9887.92074235834
Guam,37752.633077142
Guatemala,4647.69334663252
Guinea,1043.8998820932
Guinea-Bissau,730.611448705215
Guyana,6477.29672607993
Haiti,1324.84400548618
Honduras,2519.37019370185
"Hong Kong SAR, China",48356.0635043614
Hungary,16782.9524639857
Iceland,68853.71521658
India,2047.23270433512
Indonesia,4151.22754296453
"Iran, Islamic Rep.",3277.875595507
Iraq,5621.18169491752
Ireland,80927.0746710666
Isle of Man,87157.4714603395
Israel,44452.2325623093
Italy,33673.7509627421
Jamaica,5626.17117652759
Japan,40458.0018755824
Jordan,4205.56365350106
Kazakhstan,9812.5958082732
Kenya,1970.10514317888
Kiribati,1432.17898537689
"Korea, Rep.",31902.4169048194
Kosovo,4416.10835754636
Kuwait,30667.3482202553
Kyrgyz Republic,1374.03210467421
Lao PDR,2598.50552320723
Latvia,17945.2222164984
Lebanon,8985.57249887356
Lesotho,1102.56486953249
Liberia,665.878447568436
Libya,10542.1492864798
Liechtenstein,167019.618092859
Lithuania,19595.1415724355
Luxembourg,112621.821337404
"Macao SAR, China",83183.1666089243
Madagascar,512.279659659088
Malawi,584.362867276266
Malaysia,11132.0239344924
Maldives,11118.5565375032
Mali,840.175765032737
Malta,31198.2414453028
Marshall Islands,5188.97111429082
Mauritania,1839.964449578
Mauritius,11405.7268191397
Mexico,10145.1701829207
"Micronesia, Fed. Sts.",3699.08151446862
Moldova,4493.37030323867
Monaco,199377.481831603
Mongolia,4394.94714713374
Montenegro,8909.65333601178
Morocco,3498.57397460938
Mozambique,508.163674567861
Myanmar,1295.2014475589
Namibia,5126.17614357634
Nauru,9786.02652564979
Nepal,1185.68267540752
Netherlands,52476.2732533327
New Caledonia,34797.5186645024
New Zealand,42865.233643554
Nicaragua,1890.27306467363
Niger,550.963555536013
Nigeria,2204.18157415589
North Macedonia,6070.38805358275
Northern Mariana Islands,23707.3288138313
Norway,75719.7528965342
Oman,19132.1522739094
Pakistan,1437.16590678288
Palau,15567.0908684974
Panama,15826.0823544866
Papua New Guinea,2593.80465015989
Paraguay,5807.83879407975
Peru,6955.80995882668
Philippines,3413.84792378255
Poland,15699.9113500703
Portugal,23330.817288932
Puerto Rico,32916.866800639
Qatar,62637.2751084291
Romania,12958.0755553785
Russian Federation,11536.2509765625
Rwanda,806.879981050775
Samoa,4308.27275342784
San Marino,47287.3983949924
Sao Tome and Principe,1991.73826385183
Saudi Arabia,22430.238229402
Senegal,1462.35433280275
Serbia,7417.20364852201
Seychelles,17253.5056614424
Sierra Leone,506.606894364098
Singapore,65831.1894308765
Slovak Republic,19383.4810445228
Slovenia,26016.078683914
Solomon Islands,2398.77275659429
Somalia,405.786763279583
South Africa,6688.78727128797
Spain,29581.5185513299
Sri Lanka,4082.69461963515
St. Kitts and Nevis,23219.3314206225
St. Lucia,11726.7697662964
St. Vincent and the Grenadines,8674.37100857481
Sudan,748.010925292969
Suriname,6690.04478601228
Sweden,51939.4297445291
Switzerland,84121.9310304414
Syrian Arab Republic,1116.67924613649
Tajikistan,889.02026237745
Tanzania,1052.02172851563
Thailand,7630.03960991873
Timor-Leste,1584.26384378261
Togo,875.932659234798
Tonga,4879.0173416227
Trinidad and Tobago,15690.9630955493
Tunisia,3477.88377711232
Turkiye,9103.04337531894
Turkmenistan,7344.64823305792
Turks and Caicos Islands,27795.1485608171
Tuvalu,4949.17388770172
Uganda,823.138950454868
Ukraine,3661.45629882813
United Arab Emirates,45376.1708381558
United Kingdom,42747.080460496
United States,65120.3946628653
Uruguay,17859.9314960921
Uzbekistan,1784.00981608195
Vanuatu,3076.58988588361
Vietnam,3491.09127354876
Virgin Islands (U.S.),38596.0307118282
West Bank and Gaza,3656.85827137011
Zambia,1268.12094056241
Zimbabwe,1421.86859641758
