country,Tourism receipts /% of X
Africa Eastern and Southern,11.0533919214397
Africa Western and Central,4.8416146827577
Arab World,10.7372597713143
Caribbean small states,37.0554327926019
Central Europe and the Baltics,6.32891096575353
Early-demographic dividend,8.12216070983718
Euro area,5.48528979739978
Europe & Central Asia,5.71440835899399
Europe & Central Asia (excluding high income),8.04849127039178
Europe & Central Asia (IDA & IBRD countries),7.65024417808954
European Union,5.57097742838215
Fragile and conflict affected situations,8.44996074706288
Heavily indebted poor countries (HIPC),10.6928753425328
High income,6.76447924963709
IDA blend,6.9318505905937
IDA only,12.1906672002518
IDA total,10.2322662846119
Latin America & Caribbean,8.03820171156504
Latin America & Caribbean (excluding high income),6.93581128901992
Latin America & the Caribbean (IDA & IBRD countries),7.36839792615559
Least developed countries: UN classification,10.3346041062738
Low income,12.6359651014633
Lower middle income,7.33004396525956
Middle East & North Africa,10.1287565573129
Middle East & North Africa (excluding high income),14.3026620153183
Middle East & North Africa (IDA & IBRD countries),14.342881914106
North America,10.2129776006334
OECD members,6.61761856298508
Other small states,17.6720152876877
Pacific island small states,49.2251174856326
Post-demographic dividend,6.85695243642509
Pre-demographic dividend,6.83280869115574
Small states,20.445831587642
South Asia,6.16901476469386
South Asia (IDA & IBRD),6.16901476469386
Sub-Saharan Africa,8.98071485609661
Sub-Saharan Africa (excluding high income),8.86071934872165
Sub-Saharan Africa (IDA & IBRD countries),8.98071485609661
World,7.18559307676902
Afghanistan,5.45768303162904
Albania,52.9379204273761
Algeria,0.751217242491807
Angola,2.21909952571216
Antigua and Barbuda,80.9140397819263
Argentina,7.65710936693155
Armenia,29.0923324403997
Aruba,74.948455559204
Australia,15.5675598819195
Austria,10.127685905449
Azerbaijan,16.241153193554
"Bahamas, The",79.6401910996496
Bahrain,16.9076167790564
Bangladesh,0.568998349622867
Barbados,44.4375926721103
Belarus,3.39851319216774
Belgium,2.32417318712609
Benin,4.04427546732556
Bermuda,33.4984494333093
Bhutan,21.6396462689995
Bolivia,9.99433588664424
Bosnia and Herzegovina,14.2284218174096
Botswana,6.14062100548899
Brazil,3.04019942400655
Brunei Darussalam,2.69559872936182
Bulgaria,12.0233452320393
Burkina Faso,5.25608554021083
Cabo Verde,55.4918558520979
Cambodia,24.6263201017849
Cameroon,8.13081262109682
Cayman Islands,19.0783863217773
Chile,5.3971622936419
Colombia,13.1661287090721
Comoros,46.7158698247662
"Congo, Dem. Rep.",0.035793511368544
"Congo, Rep.",0.932705842034384
Costa Rica,20.2603493491788
Cote d'Ivoire,4.04344459076363
Croatia,37.3573344375232
Curacao,36.0954897859495
Cyprus,19.4157944602732
Czechia,4.53409641459577
Denmark,4.47972048953191
Djibouti,1.239360736582
Dominica,73.4286701409802
Dominican Republic,37.0272414705104
Ecuador,8.60674470531243
"Egypt, Arab Rep.",9.83217494490592
El Salvador,16.896619671591
Estonia,10.3086651591231
Eswatini,0.77873815805921
Ethiopia,36.2030988614581
Fiji,49.861731375987
Finland,4.79465495082585
France,8.14435872856881
French Polynesia,65.0774931502111
"Gambia, The",46.950233824785
Georgia,37.4732904313446
Germany,3.26818949190576
Ghana,5.44938529679348
Greece,27.8764385161223
Grenada,83.2735505187465
Guatemala,9.70964359703328
Guinea,0.67281825546872
Haiti,31.1384122371578
Honduras,8.69312720300741
"Hong Kong SAR, China",6.30570515558945
Hungary,6.72970712592755
India,5.36923837205765
Indonesia,7.48897480226927
Iraq,6.66245280762595
Ireland,3.48357482022111
Israel,6.86540648685445
Italy,7.70543178900559
Japan,4.12261250156936
Jordan,36.5119642114024
Kazakhstan,4.90253312143769
Kenya,14.8494634759032
"Korea, Rep.",3.44862140848265
Kuwait,1.59361044400896
Kyrgyz Republic,19.7631005610588
Lao PDR,14.115181120958
Lebanon,39.0473817702466
Luxembourg,4.75146108678034
"Macao SAR, China",90.1922046623701
Madagascar,26.899373011957
Malawi,2.54208642469963
Malaysia,9.78617040169819
Maldives,83.8746600573022
Mali,6.13151453144321
Marshall Islands,65.9695421245754
Mauritania,1.97532593342658
Mauritius,35.067754597232
Mexico,5.17384230466432
Moldova,13.1132542980216
Mongolia,6.76198889468564
Montenegro,54.8110798289747
Morocco,23.0328509444214
Mozambique,3.02492700040369
Myanmar,17.5849296887211
Namibia,7.90274536616909
Nauru,6.334529440184
Nepal,23.5284959918273
Netherlands,3.11609900782311
New Caledonia,13.2255604858842
New Zealand,19.6295209522259
Niger,6.82560901297177
Nigeria,2.82982991873963
North Macedonia,5.20245823712068
Norway,4.82088305144799
Oman,7.47659307332256
Pakistan,2.94016820962849
Palau,101.26027997099
Panama,24.9246885700145
Papua New Guinea,0.0192367142909108
Paraguay,2.80410544741086
Peru,9.98262682662538
Philippines,8.50577184120884
Poland,4.86423631653033
Portugal,20.7049051395775
Qatar,17.3734076704707
Romania,3.1475625381071
Russian Federation,3.85795074694915
Rwanda,29.2091907873238
Samoa,59.8993680749264
Sao Tome and Principe,71.5589125293279
Saudi Arabia,6.6902294883981
Senegal,10.7251820033116
Serbia,7.59533280256604
Seychelles,31.5950159416631
Sierra Leone,5.20188622118415
Singapore,3.60612692820312
Sint Maarten (Dutch part),74.8227920391994
Slovak Republic,3.38679615905636
Slovenia,7.82152145477025
Solomon Islands,12.7960240975444
South Africa,9.62696197381511
South Sudan,1.42700129340968
Sri Lanka,26.312689143426
St. Kitts and Nevis,65.9773887789749
St. Lucia,84.4032195300034
St. Vincent and the Grenadines,73.1418258161217
Sudan,21.7540830840814
Suriname,4.60677337165067
Switzerland,4.36211949336879
Tajikistan,16.631028660488
Tanzania,25.3624608663203
Thailand,17.4769422746326
Timor-Leste,59.9293660093035
Togo,14.1284120619563
Tonga,51.0815655416915
Trinidad and Tobago,7.48375541142142
Tunisia,10.095192732395
Turkiye,13.3209028360632
Uganda,23.115991440051
Ukraine,3.74500086941401
United States,10.199328461316
Uruguay,15.4448463159246
Uzbekistan,5.48819489189605
Vanuatu,76.6086062539103
"Venezuela, RB",1.90350020917585
Vietnam,4.49542788540361
West Bank and Gaza,10.6478155670699
"Yemen, Rep.",12.360562989795
Zimbabwe,4.77870349903376
