quote_date,item_id,date,dateISO,priceMean,price75Q,price25Q,priceMedian
201201,510248,288,2012-01-01,20.195591,22,12.5,18
201202,510248,289,2012-02-01,20.393185,25,10,17.775
201203,510248,290,2012-03-01,21.268805,25,11,18
201204,510248,291,2012-04-01,19.244379,20,10,15
201205,510248,292,2012-05-01,20.726547,25,10,15
201206,510248,293,2012-06-01,20.145262,24,10,15
201207,510248,294,2012-07-01,19.132704,20,10,15
201208,510248,295,2012-08-01,19.288301,20,10,15
201209,510248,296,2012-09-01,19.449181,20,10,15
201210,510248,297,2012-10-01,19.537756,20,12,15
201211,510248,298,2012-11-01,19.050163,20,10,15
201212,510248,299,2012-12-01,18.925901,20,10,15
201301,510248,300,2013-01-01,18.8634,20,10,15
201302,510248,301,2013-02-01,18.177973,20,10,14.4
201303,510248,302,2013-03-01,19.222328,22.99,10,15
201304,510248,303,2013-04-01,19.49905,22.99,12,15
201305,510248,304,2013-05-01,19.239677,22.99,12.5,15
201306,510248,305,2013-06-01,18.8377,22.99,12.5,15
201307,510248,306,2013-07-01,19.090385,22.99,12.5,15
201308,510248,307,2013-08-01,19.505239,22.99,12.5,15
201309,510248,308,2013-09-01,20.685623,24,12.5,15
201310,510248,309,2013-10-01,20.810894,24.5,12.5,15
201311,510248,310,2013-11-01,22.03821,25,12.5,15
201312,510248,311,2013-12-01,22.105581,25,12.5,15
201401,510248,312,2014-01-01,21.319618,22.99,12.5,15
201402,510248,313,2014-02-01,21.036858,25.5,14,15
201403,510248,314,2014-03-01,20.635433,22.99,14,15
201404,510248,315,2014-04-01,20.768299,22.99,14,16
201405,510248,316,2014-05-01,21.020699,24.99,14,16
201406,510248,317,2014-06-01,20.821115,22.99,14,18
201407,510248,318,2014-07-01,20.012474,22,14,15
201408,510248,319,2014-08-01,21.063498,22.99,14,16
201409,510248,320,2014-09-01,20.905544,22.99,14,15
201410,510248,321,2014-10-01,22.49835,25,14,18
201411,510248,322,2014-11-01,21.811493,22.99,14,18
201412,510248,323,2014-12-01,22.293177,25,14,18
201501,510248,324,2015-01-01,21.361797,22.99,14,18
201502,510248,325,2015-02-01,20.975451,22.99,14,18
201503,510248,326,2015-03-01,21.811729,24.99,12.99,18
201504,510248,327,2015-04-01,22.480755,25,14,18
201505,510248,328,2015-05-01,21.871735,25,12.99,18
201506,510248,329,2015-06-01,22.468157,28,14,18
201507,510248,330,2015-07-01,22.418633,25,14,19.99
201508,510248,331,2015-08-01,22.591661,24.99,14,18
201509,510248,332,2015-09-01,22.860296,26,14,18
201510,510248,333,2015-10-01,22.080532,24.99,14,18
201511,510248,334,2015-11-01,22.705,26,14,18
201512,510248,335,2015-12-01,21.354673,22.99,13.5,18
201601,510248,336,2016-01-01,20.761097,22.99,12,16
201602,510248,337,2016-02-01,21.635454,22.5,14,18
201603,510248,338,2016-03-01,21.588545,22.99,12,17.799999
201604,510248,339,2016-04-01,21.434841,22.99,12,18
201605,510248,340,2016-05-01,21.956026,24,14,18
201606,510248,341,2016-06-01,21.505348,22.99,12,18
201607,510248,342,2016-07-01,20.620634,22.99,12,16
201608,510248,343,2016-08-01,21.4998,24.99,12,16
201609,510248,344,2016-09-01,23.493162,26,14,20
201610,510248,345,2016-10-01,23.676538,24.99,14,20
201611,510248,346,2016-11-01,23.064402,24.99,12,19.99
201612,510248,347,2016-12-01,23.422266,25,12,19.99
201701,510248,348,2017-01-01,23.033548,24.99,14,19.99
201702,510248,349,2017-02-01,23.672663,26,12.8,20
201703,510248,350,2017-03-01,24.952549,29,14,20
201704,510248,351,2017-04-01,25.024572,30.994999,13,20
201705,510248,352,2017-05-01,24.557003,28,14,19.99
201706,510248,353,2017-06-01,24.268396,27.99,14,19.744999
201707,510248,354,2017-07-01,22.715496,25.99,12,20
201708,510248,355,2017-08-01,23.873196,27.99,12,20
201709,510248,356,2017-09-01,24.695715,30,13,20
201710,510248,357,2017-10-01,23.368622,27.99,12,19.5
201711,510248,358,2017-11-01,23.692739,28,13,19.5
201712,510248,359,2017-12-01,23.255415,27.99,12,19.99
201801,510248,360,2018-01-01,22.394455,25.99,14,18
201802,510248,361,2018-02-01,23.383421,26,14,18
201803,510248,362,2018-03-01,23.658112,26,14,17.99
201804,510248,363,2018-04-01,23.782803,25.99,14,18
201805,510248,364,2018-05-01,24.532459,32,14,17.99
201806,510248,365,2018-06-01,24.153452,26,14,20
201807,510248,366,2018-07-01,22.932823,25.99,12,18
201808,510248,367,2018-08-01,24.531639,26,14,20
201809,510248,368,2018-09-01,25.498699,34.945,14,20
201810,510248,369,2018-10-01,24.680346,32,14,17.994999
201811,510248,370,2018-11-01,25.544794,32,14,19.994999
201812,510248,371,2018-12-01,25.070848,32,14,17.99
201901,510248,372,2019-01-01,24.049294,26,14,18
201902,510248,373,2019-02-01,24.625843,28,13,17.6
201903,510248,374,2019-03-01,25.705225,29.5,14,20
201904,510248,375,2019-04-01,24.443724,28,12,18
201905,510248,376,2019-05-01,24.790106,27,12,18
201906,510248,377,2019-06-01,26.349573,35,13,19.5
201907,510248,378,2019-07-01,25.380375,29.5,13,19.5
201908,510248,379,2019-08-01,27.516138,34.990002,15,20
201909,510248,380,2019-09-01,26.840033,29.99,15.99,20
201910,510248,381,2019-10-01,27.57905,29.99,15.99,19.5
201911,510248,382,2019-11-01,27.552961,30,15.99,19.75
201912,510248,383,2019-12-01,28.128941,34.990002,15.4,19.5
202001,510248,384,2020-01-01,27.000067,30,15,20
202002,510248,385,2020-02-01,28.372791,34.990002,14,20
202003,510248,386,2020-03-01,27.211945,34.990002,15,20
202004,510248,387,2020-04-01,25.206667,32,15,17.6
202005,510248,388,2020-05-01,25.425272,28.99,15,19.1
202006,510248,389,2020-06-01,24.987112,28.494999,14,19.200001
202007,510248,390,2020-07-01,25.982048,25.99,14,19.200001
202008,510248,391,2020-08-01,26.680517,25.99,15,19.35
202009,510248,392,2020-09-01,27.173635,28.99,15,22
202010,510248,393,2020-10-01,28.116722,28.99,15,21
202011,510248,394,2020-11-01,27.272652,29.99,15,19.200001
202012,510248,395,2020-12-01,27.158571,25.6,15,17.994999
202101,510248,396,2021-01-01,24.78163,29,14,17
202102,510248,397,2021-02-01,23.842199,30,12.8,17.24
202103,510248,398,2021-03-01,25.003653,30,12.8,18
202104,510248,399,2021-04-01,25.581959,30,14,19.5
202105,510248,400,2021-05-01,26.005964,34.990002,14.99,19.5
202106,510248,401,2021-06-01,26.08024,30,14.99,18
202107,510248,402,2021-07-01,26.123177,29.99,15,18
202108,510248,403,2021-08-01,26.039143,29.99,15,17.99
202109,510248,404,2021-09-01,25.897335,29.99,14.995,17.994999
202110,510248,405,2021-10-01,26.421673,29.99,15,18
202111,510248,406,2021-11-01,26.831406,29.99,15,19
202112,510248,407,2021-12-01,26.51296,29.99,14.995,18
202201,510248,408,2022-01-01,25.872086,25.99,14.99,18
202202,510248,409,2022-02-01,26.506187,29.99,15,19
202203,510248,410,2022-03-01,26.657152,29.99,15,19.5
202204,510248,411,2022-04-01,26.75773,29.99,15,19.5
202205,510248,412,2022-05-01,26.746201,29.99,15,19.5
202206,510248,413,2022-06-01,26.66713,29.99,15,20
202207,510248,414,2022-07-01,27.230927,29.5,15,22.5
202208,510248,415,2022-08-01,27.075275,29.99,15,20
202209,510248,416,2022-09-01,27.380701,29.99,15,20
202210,510248,417,2022-10-01,27.745176,29.99,15,20
202211,510248,418,2022-11-01,26.932564,29.99,15,20
